id,state,spkts,dpkts,rate,sttl,dload,sloss,dloss,sjit,djit,stcpb,dwin,tcprtt,synack,smean,dmean,trans_depth,response_body_len,ct_state_ttl,ct_dst_ltm,ct_dst_src_ltm,is_ftp_login,label
1,INT,2,0,90909.0902,254,0,0,0,0,0,0,0,0,0,248,0,0,0,2,1,2,0,0
2,INT,2,0,125000.0003,254,0,0,0,0,0,0,0,0,0,881,0,0,0,2,1,2,0,0
3,INT,2,0,200000.0051,254,0,0,0,0,0,0,0,0,0,534,0,0,0,2,1,3,0,0
4,INT,2,0,166666.6608,254,0,0,0,0,0,0,0,0,0,450,0,0,0,2,2,3,0,0
5,INT,2,0,100000.0025,254,0,0,0,0,0,0,0,0,0,1063,0,0,0,2,2,3,0,0
6,INT,2,0,333333.3215,254,0,0,0,0,0,0,0,0,0,392,0,0,0,2,2,2,0,0
7,INT,2,0,166666.6608,254,0,0,0,0,0,0,0,0,0,980,0,0,0,2,2,2,0,0
8,INT,2,0,35714.28522,254,0,0,0,0,0,0,0,0,0,692,0,0,0,2,1,3,0,0
9,INT,1,0,0,0,0,0,0,0,0,0,0,0,0,46,0,0,0,2,2,2,0,0
10,INT,1,0,0,0,0,0,0,0,0,0,0,0,0,46,0,0,0,2,2,2,0,0
11,INT,1,0,0,0,0,0,0,0,0,0,0,0,0,46,0,0,0,2,2,2,0,0
12,INT,1,0,0,0,0,0,0,0,0,0,0,0,0,46,0,0,0,2,2,2,0,0
13,INT,2,0,250000.0006,254,0,0,0,0,0,0,0,0,0,727,0,0,0,2,1,3,0,0
14,INT,2,0,142857.1409,254,0,0,0,0,0,0,0,0,0,1031,0,0,0,2,1,3,0,0
15,INT,2,0,90909.0902,254,0,0,0,0,0,0,0,0,0,1020,0,0,0,2,1,1,0,0
16,INT,2,0,250000.0006,254,0,0,0,0,0,0,0,0,0,526,0,0,0,2,1,3,0,0
17,INT,2,0,100000.0025,254,0,0,0,0,0,0,0,0,0,887,0,0,0,2,1,2,0,0
18,INT,2,0,500000.0013,254,0,0,0,0,0,0,0,0,0,784,0,0,0,2,1,2,0,0
19,INT,2,0,250000.0006,254,0,0,0,0,0,0,0,0,0,1027,0,0,0,2,1,2,0,0
20,INT,2,0,100000.0025,254,0,0,0,0,0,0,0,0,0,1085,0,0,0,2,1,2,0,0
21,INT,2,0,111111.1072,254,0,0,0,0,0,0,0,0,0,101,0,0,0,2,1,2,0,0
22,INT,2,0,100000.0025,254,0,0,0,0,0,0,0,0,0,667,0,0,0,2,1,3,0,0
